Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Sales,Year,Types,City
2017 Honda WR-V 1.2 i-VTEC VX MT,MANUAL,"63,136 km",Petrol,2nd Owner,TS-13-x-xxxx,"?14,244/month","Fixed Price?7,28,599",17-Oct,Honda,Hyderabad
2020 Ford Ecosport 1.5 TITANIUM TI VCT,MANUAL,"6,523 km",Petrol,1st Owner,RJ-45,"?17,451/month","Fixed Price?9,29,299",,Ford,Jaipur
2021 Renault Kiger RXZ 1.0 TURBO MT DUAL TONE,,"8,885 km",Petrol,1st Owner,KL-34,"?17,771/month","?9,63,999?9,46,299",21-Sep,Cars from 5 lakh - 10 lakh,Kochi
2022 Maruti S PRESSO VXI PLUS,MANUAL,"12,117 km",Petrol,1st Owner,KA-67-x-xxxx,"?11,599/month","?6,16,199?5,93,299",22-May,CNG,Bangalore
2009 Toyota Corolla Altis  VL AT,AUTOMATIC,"95,781 km",Petrol,2nd Owner,AP-10-x-xxxx,"?9,859/month","?5,58,599?5,04,299",9-Jul,Cars from 5 lakh - 10 lakh,Hyderabad
2022 KIA SONET HTX 1.5D MT AE,,"2,383 km",Diesel,1st Owner,MH-12,"?27,007/month","?15,61,899?14,38,149",22-May,,Pune
2018 Mahindra XUV500 W7 FWD,MANUAL,"51,066 km",Diesel,1st Owner,KA-51-x-xxxx,"?24,848/month","?14,70,399?13,23,199",18-Oct,Mahindra,Bangalore
2020 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,"73,641 km",Diesel,1st Owner,GJ-27,"?17,654/month","?9,97,399?9,40,099",20-Feb,Diesel,Ahmedabad
2022 Hyundai NEW SANTRO SPORTZ 1.1,MANUAL,"5,523 km",Petrol,1st Owner,RJ-45,"?10,176/month","?5,88,999?5,20,499",22-May,Hyundai,Jaipur
2019 Tata Harrier XZ 2.0L Kryotec,MANUAL,"43,113 km",Diesel,1st Owner,RJ-45,"?29,853/month","?16,31,599?15,89,699",19-May,Diesel,Jaipur
2018 Volkswagen Ameo COMFORTLINE 1.0,MANUAL,"79,690 km",Petrol,1st Owner,RJ-19,"?9,249/month","?5,05,899?4,73,099",18-Nov,Volkswagen,Jaipur
2019 Maruti Eeco 5 STR WITH AC PLUSHTR,MANUAL,"12,539 km",Petrol,1st Owner,TN-07-x-xxxx,"?9,441/month","?4,93,899?4,82,899",19-Oct,CNG,Chennai
2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,MANUAL,"25,055 km",Petrol,2nd Owner,MH-14,"?9,280/month","?5,21,099?4,74,699",16-May,Hyundai,Pune
2022 KIA CARENS PRESTIGE PLUS 1.4G MT 7STR,,"1,532 km",Petrol,1st Owner,MH-43,"?30,501/month","?17,35,699?16,24,199",22-Jun,Cars above 10 lakh,Mumbai
2021 Maruti New  Wagon-R VXI 1.0,MANUAL,"3,720 km",Petrol,1st Owner,GJ-06,"?11,091/month","Fixed Price?5,67,299",21-Jun,,Ahmedabad
2020 Maruti Swift LXI,MANUAL,"30,620 km",Petrol,1st Owner,UP-32-x-xxxx,"?11,886/month","Fixed Price?6,07,999",20-Dec,,Lucknow
2018 Hyundai Grand i10 ASTA 1.2 VTVT,MANUAL,"9,631 km",Petrol,1st Owner,KA-02-x-xxxx,"?12,262/month","Fixed Price?6,27,199",18-Mar,Hyundai,Bangalore
2018 Honda WR-V 1.5 i-DTEC VX MT,MANUAL,"49,995 km",Diesel,1st Owner,KA-01-x-xxxx,"?16,636/month","Fixed Price?8,85,899",18-Aug,Honda,Bangalore
2019 Hyundai VENUE 1.0 TURBO GDI SX+ AT,AUTOMATIC,"17,838 km",Petrol,1st Owner,WB-08,"?19,158/month","?10,90,699?10,20,199",19-Jun,Cars above 10 lakh,Kolkata
2012 Maruti Swift VXI,MANUAL,"35,757 km",Petrol,3rd Owner,MH-03,"?6,246/month","Fixed Price?3,19,499",12-Jun,,Mumbai
2014 Honda Brio 1.2 S MT I VTEC,MANUAL,"57,021 km",Petrol,3rd Owner,MH-12,"?6,592/month","?3,66,099?3,37,199",14-Jul,Honda,Pune
2021 Maruti Swift ZXI,MANUAL,"9,428 km",Petrol,1st Owner,KA-05-x-xxxx,"?15,722/month","?8,42,199?8,37,199",21-Apr,Cars from 5 lakh - 10 lakh,Bangalore
2021 Maruti Dzire VXI,MANUAL,"5,325 km",Petrol,2nd Owner,TN-09-x-xxxx,"?14,305/month","?7,40,499?7,31,699",21-Mar,Maruti,Chennai
2011 Hyundai i10 MAGNA 1.1 IRDE2,MANUAL,"34,658 km",Petrol,2nd Owner,DL-4C,"?4,391/month","Fixed Price?2,24,599",11-Jul,Petrol,New Delhi
2016 Volkswagen Ameo HIGHLINE 1.2,MANUAL,"64,382 km",Petrol,2nd Owner,MH-03,"?9,685/month","Fixed Price?4,95,399",16-Oct,Volkswagen,Mumbai
2019 Renault TRIBER 1.0 RXZ,MANUAL,"9,798 km",Petrol,1st Owner,MH-12,"?13,871/month","?7,39,799?7,09,499",19-Sep,Renault,Pune
2020 KIA SELTOS HTX 1.5 PETROL MT,MANUAL,"13,232 km",Petrol,1st Owner,KA-03-x-xxxx,"?26,358/month","?14,93,199?14,03,599",20-Oct,Cars above 10 lakh,Bangalore
2014 Hyundai Eon ERA PLUS,MANUAL,"21,798 km",Petrol,1st Owner,AP-29-x-xxxx,"?5,724/month","Fixed Price?2,92,799",14-Jan,Cars from 2 lakh - 5 lakh,Hyderabad
2019 Tata Hexa Varicor 400 XTA,AUTOMATIC,"37,564 km",Diesel,1st Owner,MH-12,"?27,637/month","?14,97,399?14,71,699",19-Jan,Tata,Pune
2016 Hyundai Eon ERA PLUS,MANUAL,"21,690 km",Petrol,1st Owner,MH-12,"?5,564/month","?2,90,799?2,84,599",16-Jan,Petrol,Pune
2021 Maruti Alto LXI CNG,MANUAL,"30,144 km",Petrol + CNG,1st Owner,HR-26,"?9,396/month","?5,05,599?4,80,599",21-Feb,CNG,New Delhi
2009 Hyundai i10 MAGNA 1.2,MANUAL,"85,168 km",Petrol,2nd Owner,KL-07,"?3,591/month","?2,07,699?1,83,699",,,Kochi
2021 Mahindra Scorpio S11,MANUAL,"9,981 km",Diesel,1st Owner,MH-02,"?31,228/month","?17,82,399?16,62,899",21-Nov,Diesel,Mumbai
2020 Toyota Glanza G CVT,AUTOMATIC,"41,783 km",Petrol,1st Owner,MH-12,"?15,763/month","?8,91,299?8,39,399",20-Aug,Toyota,Pune
