Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Sales,Year,Types,City
2020 Maruti Swift VXI,MANUAL,"3,152 km",Petrol,1st Owner,DL-6C,"?13,001/month","?6,69,999?6,64,999",20-Feb,,New Delhi
2018 Toyota YARIS VX CVT,AUTOMATIC,"36,878 km",Petrol,1st Owner,MH-01,"?20,683/month","?11,50,199?11,01,399",18-May,Toyota,Mumbai
2019 Maruti Celerio VXI CNG OPT,MANUAL,"28,767 km",Petrol + CNG,1st Owner,MH-02,"?12,459/month","Fixed Price?6,37,299",19-Mar,CNG,Pune
2018 Ford FREESTYLE TITANIUM 1.5 TDCI,,"29,033 km",Diesel,3rd Owner,KL-01,"?12,060/month","?6,71,599?6,16,899",,Diesel,Kochi
2014 Ford Ecosport 1.0 ECOBOOST TITANIUM,MANUAL,"38,203 km",Petrol,1st Owner,WB-02,"?9,499/month","?4,90,899?4,85,899",14-Feb,Ford,Kolkata
2008 Hyundai i10 SPORTZ 1.2,MANUAL,"23,880 km",Petrol,2nd Owner,KL-07,"?4,119/month","?2,46,699?2,10,699",8-Aug,,Kochi
2018 Tata Tiago XT 1.2 REVOTRON,MANUAL,"29,576 km",Petrol,1st Owner,KA-51-x-xxxx,"?10,221/month","Fixed Price?5,22,799",18-Apr,Tata,Bangalore
2014 Mahindra Scorpio S10,MANUAL,"79,924 km",Diesel,2nd Owner,KA-03-x-xxxx,"?18,929/month","Fixed Price?10,07,999",14-Dec,Mahindra,Bangalore
2018 Honda Amaze 1.2 SMT I VTEC,MANUAL,"42,775 km",Petrol,1st Owner,KL-11,"?11,930/month","?6,18,299?6,10,199",18-Jun,Honda,Kochi
2018 Volkswagen Ameo HIGHLINE PLUS 1.0,MANUAL,"8,945 km",Petrol,1st Owner,WB-08,"?11,871/month","Fixed Price?6,07,199",18-Jul,Volkswagen,Kolkata
2018 Tata NEXON XZA + 1.2 PETROL A/T,AUTOMATIC,"49,765 km",Petrol,1st Owner,MH-17,"?15,372/month","?8,81,599?8,18,599",18-Dec,Tata,Pune
2022 Mahindra Thar LX HT PETROL 4WD MT,,"16,202 km",Petrol,1st Owner,RJ-45,"?29,329/month","?16,07,399?15,61,799",22-Jan,Cars above 10 lakh,Jaipur
2017 Maruti Ertiga VXI ABS,MANUAL,"52,930 km",Petrol,1st Owner,WB-24,"?13,175/month","?6,98,799?6,73,899",17-Sep,Cars from 5 lakh - 10 lakh,Kolkata
2016 Honda City SV CVT PETROL,AUTOMATIC,"48,053 km",Petrol,2nd Owner,MH-47,"?12,098/month","Fixed Price?6,18,799",16-Sep,Honda,Mumbai
2020 KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT,AUTOMATIC,"11,433 km",Petrol,1st Owner,MH-12,"?34,367/month","?19,17,399?18,30,099",20-Feb,KIA,Pune
2017 Maruti Baleno DELTA 1.2 K12,MANUAL,"67,741 km",Petrol + CNG,1st Owner,UP-32-x-xxxx,"?11,063/month","?5,70,899?5,65,899",17-Oct,CNG,Lucknow
2021 Mahindra Scorpio S11,MANUAL,"26,772 km",Diesel,2nd Owner,WB-38,"?30,859/month","Fixed Price?16,43,299",21-Jun,Diesel,Kolkata
2020 Hyundai VENUE S MT 1.2 KAPPA,MANUAL,"19,934 km",Petrol,2nd Owner,UP-32-x-xxxx,"?13,791/month","?7,53,099?7,05,399",20-Jan,Mahindra,Lucknow
2018 Renault Kwid RXT,MANUAL,"43,135 km",Petrol,2nd Owner,MP-04,"?7,179/month","Fixed Price?3,67,199",18-Dec,Cars from 2 lakh - 5 lakh,Indore
2010 Maruti Swift VXI,MANUAL,"51,322 km",Petrol,1st Owner,KL-07,"?6,667/month","Fixed Price?3,40,999",10-Jul,,Kochi
2015 Hyundai i10 MAGNA 1.1 IRDE2,MANUAL,"42,697 km",Petrol,2nd Owner,MH-46,"?5,959/month","Fixed Price?3,04,799",15-Apr,,Mumbai
2020 Hyundai VENUE S MT Turbo GDI 1.0L,MANUAL,"19,094 km",Petrol,1st Owner,KA-46-x-xxxx,"?17,091/month","?9,18,699?9,10,099",20-Dec,Hyundai,Bangalore
2011 Hyundai i20 MAGNA O 1.2,MANUAL,"93,085 km",Petrol,3rd Owner,AP-09-x-xxxx,"?7,316/month","?3,79,199?3,74,199",11-Jun,Hyundai,Hyderabad
2019 Renault Captur PLATINE DUAL TONE,MANUAL,"47,446 km",Diesel,1st Owner,TS-07-x-xxxx,"?22,640/month","?12,81,299?12,05,599",19-Dec,Renault,Hyderabad
2019 Maruti Swift VXI,MANUAL,"36,352 km",Petrol,2nd Owner,TN-12-x-xxxx,"?12,891/month","?6,76,499?6,59,399",19-May,,Chennai
2020 Tata NEXON XMA 1.2,AUTOMATIC,"45,790 km",Petrol,1st Owner,MH-04,"?16,664/month","?9,06,799?8,87,399",20-Aug,Tata,Mumbai
2018 Maruti Celerio ZXI AMT,AUTOMATIC,"53,279 km",Petrol,2nd Owner,GJ-05,"?9,744/month","Fixed Price?4,98,399",18-May,Cars from 2 lakh - 5 lakh,Ahmedabad
2016 Hyundai Eon ERA PLUS,MANUAL,"38,453 km",Petrol,1st Owner,RJ-14,"?5,799/month","Fixed Price?2,96,599",16-Jun,,Jaipur
2018 Renault Kwid RXL,MANUAL,"59,920 km",Petrol,1st Owner,DL-3C,"?5,693/month","?2,96,199?2,91,199",18-Feb,Renault,New Delhi
2021 Maruti Swift VXI,MANUAL,"13,579 km",Petrol,1st Owner,UP-32-x-xxxx,"?13,695/month","?7,10,999?7,00,499",21-Sep,,Lucknow
2018 Tata Tiago XZ 1.2 REVOTRON,MANUAL,"32,258 km",Petrol,1st Owner,KA-53-x-xxxx,"?10,647/month","Fixed Price?5,44,599",18-Feb,Tata,Bangalore
2018 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,"70,260 km",Diesel,1st Owner,TS-09-x-xxxx,"?16,227/month","Fixed Price?8,64,099",18-May,Ford,Hyderabad
2020 KIA SELTOS HTK 1.5 PETROL,MANUAL,"15,585 km",Petrol,1st Owner,UP-32-x-xxxx,"?18,612/month","Fixed Price?9,91,099",20-Aug,KIA,Lucknow
2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,MANUAL,"25,664 km",Petrol,1st Owner,UP-32-x-xxxx,"?8,821/month","?4,67,799?4,51,199",17-Oct,Cars from 2 lakh - 5 lakh,Lucknow
2021 KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT,AUTOMATIC,"5,197 km",Petrol,1st Owner,MH-14,"?35,979/month","?19,96,999?19,15,899",21-Jun,KIA,Pune
2013 Maruti Swift VXI,MANUAL,"37,591 km",Petrol,1st Owner,MH-02,"?8,067/month","?4,19,299?4,12,649",13-Mar,,Mumbai
2013 Toyota Etios Liva GD,MANUAL,"92,183 km",Diesel,1st Owner,MH-12,"?8,021/month","Fixed Price?4,10,299",13-Aug,Toyota,Pune
2019 Renault Kwid 1.0 RXT Opt AT,AUTOMATIC,"9,448 km",Petrol,1st Owner,KA-53-x-xxxx,"?10,684/month","Fixed Price?5,46,499",19-Dec,Renault,Bangalore
2012 Honda Brio 1.2 S MT I VTEC,MANUAL,"77,735 km",Petrol,1st Owner,RJ-14,"?5,406/month","?2,81,499?2,76,499",12-Nov,,Jaipur
2014 Mahindra Scorpio S6 PLUS,MANUAL,"67,785 km",Diesel,1st Owner,MH-14,"?15,725/month","?8,50,299?8,37,399",14-Nov,Mahindra,Pune
2017 Renault Kwid RXT,MANUAL,"26,001 km",Petrol,2nd Owner,UP-14,"?6,457/month","?3,35,299?3,30,299",17-Jul,Renault,New Delhi
2018 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,AUTOMATIC,"39,528 km",Petrol,3rd Owner,GJ-01,"?16,747/month","Fixed Price?8,91,799",18-Feb,Ford,Ahmedabad
2022 Maruti New  Wagon-R 1.0 Lxi (o) cng,MANUAL,"11,354 km",Petrol + CNG,1st Owner,DL-14,"?12,815/month","Fixed Price?6,55,499",22-Jan,CNG,New Delhi
2014 Renault Pulse RX Z DIESEL,MANUAL,"77,064 km",Diesel,2nd Owner,KA-51-x-xxxx,"?7,744/month","?4,06,599?3,96,099",14-Mar,Diesel,Bangalore
2010 Hyundai i10 SPORTZ 1.2,MANUAL,"76,280 km",Petrol,1st Owner,KA-51-x-xxxx,"?5,963/month","Fixed Price?3,04,999",10-Aug,Cars from 2 lakh - 5 lakh,Bangalore
2020 KIA SELTOS HTX 1.5 DIESEL,MANUAL,"61,215 km",Diesel,1st Owner,KA-04-x-xxxx,"?25,859/month","?15,71,199?13,76,999",20-Aug,Diesel,Bangalore
2022 Hyundai AURA S CNG,MANUAL,"12,664 km",Petrol + CNG,1st Owner,MH-46,"?16,856/month","?9,06,099?8,97,599",22-Jan,,Mumbai
2020 KIA SONET GTX + 1.0 IMT,,"12,355 km",Petrol,1st Owner,DL-10,"?25,716/month","?14,22,399?13,69,399",20-Oct,Cars above 10 lakh,New Delhi
2019 Hyundai Grand i10 MAGNA 1.2 VTVT,MANUAL,"20,225 km",Petrol,2nd Owner,UP-16,"?9,588/month","?5,21,699?4,90,449",19-Feb,,New Delhi
2019 Maruti Swift LXI,MANUAL,"45,291 km",Petrol,1st Owner,HR-27,"?10,651/month","Fixed Price?5,44,799",19-Aug,Cars from 5 lakh - 10 lakh,New Delhi
2014 Hyundai Eon ERA PLUS,MANUAL,"52,959 km",Petrol,1st Owner,WB-26,"?4,723/month","Fixed Price?2,41,599",14-Dec,Hyundai,Kolkata
2016 Toyota Etios Liva V  LIMITED,MANUAL,"36,420 km",Petrol,1st Owner,MH-43,"?9,828/month","Fixed Price?5,02,699",16-Apr,Cars from 5 lakh - 10 lakh,Mumbai
2018 Volkswagen Polo COMFORTLINE 1.0 PETROL,MANUAL,"64,517 km",Petrol,1st Owner,KA-03-x-xxxx,"?12,706/month","Fixed Price?6,49,899",18-May,Volkswagen,Bangalore
2020 Tata ALTROZ XM 1.2,,"15,196 km",Petrol,1st Owner,GJ-12,"?12,168/month","?6,43,699?6,22,399",20-Oct,Tata,Ahmedabad
2021 Renault TRIBER RXZ AT,AUTOMATIC,"5,948 km",Petrol,2nd Owner,KA-01-x-xxxx,"?15,425/month","?8,51,999?8,21,399",21-Jan,Renault,Bangalore
2019 Honda Amaze 1.2 EMT I VTEC,MANUAL,"18,608 km",Petrol,1st Owner,RJ-45,"?11,941/month","Fixed Price?6,10,799",19-Jun,Cars from 5 lakh - 10 lakh,Jaipur
2019 Maruti Dzire ZDI Plus AMT,AUTOMATIC,"84,071 km",Diesel,1st Owner,MP-41,"?16,018/month","Fixed Price?8,52,999",19-Apr,Honda,Indore
2014 Maruti Swift VDI,MANUAL,"78,777 km",Diesel,2nd Owner,KL-58,"?7,458/month","?4,47,199?3,81,499",,Diesel,Kochi
2012 Maruti Alto LXI,MANUAL,"85,311 km",Petrol + CNG,3rd Owner,AP-28-x-xxxx,"?3,887/month","Fixed Price?1,98,799",12-Jan,CNG,Hyderabad
2018 Hyundai Elite i20 Magna Executive 1.2,MANUAL,"90,874 km",Petrol,1st Owner,MH-05,"?10,123/month","?5,86,699?5,17,799",18-May,Hyundai,Mumbai
2020 KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT,AUTOMATIC,"28,717 km",Petrol,1st Owner,MH-12,"?34,345/month","Fixed Price?18,28,899",20-Jul,KIA,Pune
2022 Hyundai VENUE S MT 1.2 KAPPA,MANUAL,"3,091 km",Petrol,1st Owner,DL-10,"?17,536/month","?9,46,999?9,33,799",22-Mar,Hyundai,New Delhi
2021 Mahindra XUV500 W11 AT,AUTOMATIC,"13,545 km",Diesel,1st Owner,GJ-01,"?37,182/month","?21,27,799?19,79,999",21-Aug,Diesel,Ahmedabad
2021 Toyota URBAN CRUISER PREMIUM MT,,"11,821 km",Petrol,1st Owner,KA-51-x-xxxx,"?20,805/month","Fixed Price?11,07,899",21-Oct,Toyota,Bangalore
2022 Honda City V MT PETROL,MANUAL,"9,354 km",Petrol,1st Owner,TS-09-x-xxxx,"?22,285/month","?12,24,599?11,86,699",22-Jul,Cars above 10 lakh,Hyderabad
2020 Maruti Eeco 5 STR WITH AC PLUSHTR,MANUAL,"7,842 km",Petrol,2nd Owner,KA-05-x-xxxx,"?9,578/month","Fixed Price?4,89,899",20-Sep,Cars from 2 lakh - 5 lakh,Bangalore
2022 Mahindra Thar LX HT PETROL 4WD MT,,"4,460 km",Petrol,1st Owner,HR-26,"?28,846/month","Fixed Price?15,36,099",22-Jan,Mahindra,New Delhi
2022 KIA SELTOS HTK 1.5 PETROL,MANUAL,"1,644 km",Petrol,1st Owner,GJ-01,"?23,147/month","?12,59,399?12,32,599",22-Jan,KIA,Ahmedabad
2014 Maruti Celerio VXI AMT,AUTOMATIC,"96,281 km",Petrol,2nd Owner,GJ-01,"?7,085/month","?3,67,399?3,62,399",14-Sep,Cars from 2 lakh - 5 lakh,Ahmedabad
2014 Maruti Alto 800 LXI,MANUAL,"34,441 km",Petrol,2nd Owner,MH-14,"?3,890/month","Fixed Price?1,98,999",,Cars under 2 lakh,Pune
2021 Mahindra XUV 3OO W8 DIESEL MT,,"9,194 km",Diesel,1st Owner,KA-05-x-xxxx,"?23,186/month","?14,08,699?12,34,699",21-Feb,Diesel,Bangalore
2011 Hyundai Santro Xing GL PLUS,MANUAL,"59,621 km",Petrol,2nd Owner,KA-41-x-xxxx,"?5,849/month","Fixed Price?2,99,199",11-Sep,,Bangalore
2021 Hyundai NEW I20 ASTA 1.2 MT,,"9,931 km",Petrol,1st Owner,UP-32-x-xxxx,"?17,727/month","?9,51,299?9,43,999",21-Feb,Cars above 10 lakh,Lucknow
2020 Maruti New  Wagon-R VXI 1.0,MANUAL,"35,868 km",Petrol,1st Owner,UP-32-x-xxxx,"?10,389/month","?5,63,399?5,31,399",20-Jun,,Lucknow
2017 Hyundai Creta 1.6 SX (O) CRDI,MANUAL,"25,229 km",Diesel,2nd Owner,TN-05-x-xxxx,"?21,387/month","Fixed Price?11,38,899",17-Apr,,Chennai
2019 KIA SELTOS HTX 1.5 DIESEL,MANUAL,"24,964 km",Diesel,1st Owner,TN-09-x-xxxx,"?28,090/month","Fixed Price?14,95,799",19-Dec,Diesel,Chennai
2014 Volkswagen Vento HIGHLINE DIESEL,MANUAL,"80,674 km",Diesel,1st Owner,MH-05,"?9,284/month","Fixed Price?4,74,899",14-Oct,Volkswagen,Mumbai
2020 KIA SELTOS HTK PLUS 1.5 DIESEL,MANUAL,"21,842 km",Diesel,1st Owner,GJ-01,"?25,722/month","?13,90,899?13,69,699",20-Jun,Diesel,Ahmedabad
2014 Maruti Swift Dzire VDI,MANUAL,"64,987 km",Diesel,1st Owner,TS-10-x-xxxx,"?11,681/month","Fixed Price?5,97,499",14-Oct,Diesel,Hyderabad
2019 Volkswagen Vento 1.2 TSI HIGHLINE PLUS AT,AUTOMATIC,"84,092 km",Petrol,1st Owner,TN-22-x-xxxx,"?17,474/month","?9,52,999?9,30,499",19-Sep,Volkswagen,Chennai
2019 Maruti New  Wagon-R LXI CNG 1.0 L,MANUAL,"26,744 km",Petrol + CNG,3rd Owner,DL-5C,"?10,199/month","Fixed Price?5,21,699",19-Oct,CNG,New Delhi
2020 Renault TRIBER RXZ AT,AUTOMATIC,"13,066 km",Petrol,2nd Owner,TN-19-x-xxxx,"?12,758/month","?6,86,599?6,52,599",20-Nov,Renault,Chennai
2016 Mahindra Scorpio S10,MANUAL,"43,912 km",Diesel,1st Owner,DL-12,"?18,602/month","?11,56,649?9,90,599",16-Mar,Mahindra,New Delhi
2020 Hyundai Elite i20 1.2 SPORTS PLUS VTVT,MANUAL,"43,637 km",Petrol,1st Owner,MP-04,"?14,784/month","Fixed Price?7,56,199",20-Sep,Cars from 5 lakh - 10 lakh,Indore
2014 Hyundai Grand i10 ASTA 1.2 AT VTVT,AUTOMATIC,"75,612 km",Petrol,1st Owner,TS-13-x-xxxx,"?9,361/month","?4,83,899?4,78,799",14-Jun,Hyundai,Hyderabad
2021 Hyundai NEW I20 SPORTZ 1.2 MT,,"8,456 km",Petrol,1st Owner,MP-04,"?16,141/month","?8,66,399?8,59,499",21-Sep,Renault,Indore
2014 Datsun Go T,MANUAL,"18,316 km",Petrol,2nd Owner,MH-12,"?3,744/month","Fixed Price?1,91,499",14-Apr,Cars under 2 lakh,Pune
2019 Hyundai Creta 1.6 SX VTVT,MANUAL,"22,050 km",Petrol,1st Owner,UP-32-x-xxxx,"?21,010/month","?11,46,399?11,18,799",19-Apr,Cars above 10 lakh,Lucknow
2016 Honda Brio 1.2 S MT I VTEC,MANUAL,"89,706 km",Petrol,1st Owner,RJ-02,"?7,898/month","Fixed Price?4,03,999",16-Apr,Honda,Jaipur
2018 Maruti Celerio VXI,MANUAL,"14,450 km",Petrol,1st Owner,UP-16-x-xxxx,"?9,134/month","Fixed Price?4,67,199",18-May,,Lucknow
2021 Volkswagen Vento COMFORTLINE 1.0 TSI MT,MANUAL,"23,049 km",Petrol,1st Owner,GJ-01,"?16,217/month","?9,30,799?8,63,599",21-Apr,Volkswagen,Ahmedabad
2016 Ford Ecosport 1.5 TREND TI VCT,MANUAL,"46,061 km",Petrol,2nd Owner,MH-47,"?10,453/month","Fixed Price?5,34,699",16-Apr,Ford,Mumbai
2018 Honda Jazz 1.2 V MT,MANUAL,"26,896 km",Petrol,1st Owner,MH-46,"?12,217/month","?6,53,599?6,24,899",18-Oct,Honda,Pune
2022 Tata Safari XT+2.0 KRYOTEC,MANUAL,"6,131 km",Diesel,1st Owner,HR-51,"?38,632/month","Fixed Price?20,57,199",22-May,Diesel,New Delhi
2020 KIA SELTOS HTK PLUS 1.5 DIESEL,MANUAL,"53,390 km",Diesel,1st Owner,GJ-16,"?24,307/month","?13,02,799?12,94,399",20-Mar,Diesel,Ahmedabad
2015 Maruti Alto K10 VXI,MANUAL,"42,413 km",Petrol,1st Owner,UP-32-x-xxxx,"?5,165/month","?2,78,599?2,64,199",15-Oct,Honda,Lucknow
2019 Hyundai Verna 1.6 SX VTVT (O),MANUAL,"16,014 km",Petrol,1st Owner,MH-04,"?17,710/month","?10,29,099?9,43,099",19-Mar,Hyundai,Pune
2022 Hyundai NEW I20 N LINE N8 1.0 TURBO GDI DCT,,"14,919 km",Petrol,1st Owner,HR-14,"?23,752/month","?13,07,799?12,64,799",22-May,Cars above 10 lakh,New Delhi
2016 Hyundai Eon ERA PLUS,MANUAL,"40,136 km",Petrol,1st Owner,RJ-14,"?5,562/month","Fixed Price?2,84,499",16-Jul,,Jaipur
2019 Mahindra TUV300 T4+,MANUAL,"74,457 km",Diesel,1st Owner,UP-32-x-xxxx,"?12,905/month","Fixed Price?6,60,099",19-Jun,Mahindra,Lucknow
2019 Maruti Baleno ZETA 1.2 K12,MANUAL,"42,941 km",Petrol,2nd Owner,MP-09,"?13,535/month","?6,98,399?6,92,299",19-Jul,Renault,Indore
2014 Maruti Wagon R 1.0 VXI,MANUAL,"10,953 km",Petrol,1st Owner,WB-12,"?6,972/month","Fixed Price?3,56,599",14-Dec,,Kolkata
2018 Mahindra TUV300 T 10 MT Dual Tone,MANUAL,"76,226 km",Diesel,1st Owner,WB-10,"?13,842/month","Fixed Price?7,07,999",18-Jun,Mahindra,Kolkata
2015 Hyundai Eon MAGNA PLUS,MANUAL,"38,983 km",Petrol,1st Owner,KL-07,"?5,609/month","Fixed Price?2,86,899",15-Jun,Hyundai,Kochi
2013 Volkswagen Vento HIGHLINE PETROL,MANUAL,"97,393 km",Petrol,1st Owner,GJ-01,"?8,506/month","Fixed Price?4,35,099",13-Apr,Petrol,Ahmedabad
2015 Mahindra XUV500 W8 FWD,MANUAL,"95,615 km",Diesel,2nd Owner,RJ-14,"?14,989/month","?7,71,699?7,66,699",15-May,,Jaipur
2019 Tata Harrier XZ 2.0L Kryotec,MANUAL,"35,740 km",Diesel,2nd Owner,RJ-45,"?24,892/month","?14,35,299?13,25,499",19-Oct,Diesel,Jaipur
2021 Nissan MAGNITE XL MT,,"32,619 km",Petrol,1st Owner,TS-08-x-xxxx,"?13,296/month","Fixed Price?6,80,099",21-Feb,,Hyderabad
2020 Volkswagen Polo Trendline 1.0 L Petrol,MANUAL,"40,617 km",Petrol,2nd Owner,TS-07-x-xxxx,"?11,689/month","?6,12,499?5,97,899",20-Nov,Volkswagen,Hyderabad
2019 Honda Amaze 1.2 SMT I VTEC,MANUAL,"19,610 km",Petrol,1st Owner,RJ-45,"?13,435/month","Fixed Price?6,87,199",19-Oct,Honda,Jaipur
2019 Maruti Celerio VXI CNG OPT,MANUAL,"46,053 km",Petrol + CNG,1st Owner,MH-12,"?11,400/month","Fixed Price?5,83,099",19-Jun,CNG,Pune
2019 Volkswagen Polo HIGH LINE PLUS 1.0,MANUAL,"36,825 km",Petrol + CNG,2nd Owner,GJ-06,"?11,732/month","?6,17,799?6,00,099",19-May,CNG,Ahmedabad
2012 Hyundai Eon MAGNA,MANUAL,"48,802 km",Petrol,1st Owner,WB-18,"?3,912/month","Fixed Price?2,00,099",12-Apr,,Kolkata
2020 Hyundai AURA S CNG,MANUAL,"33,753 km",Petrol + CNG,1st Owner,UP-41-x-xxxx,"?15,921/month","Fixed Price?8,47,799",20-Aug,CNG,Lucknow
2017 Toyota Innova Crysta 2.4 GX 7 STR,MANUAL,"76,531 km",Diesel,2nd Owner,KL-10,"?26,135/month","Fixed Price?13,91,699",,Toyota,Kochi
2018 Tata Tiago XE 1.2 REVOTRON,MANUAL,"94,860 km",Petrol,1st Owner,TS-08-x-xxxx,"?7,736/month","Fixed Price?3,95,699",18-Jul,Tata,Hyderabad
2015 Honda Amaze 1.2 SMT I VTEC,MANUAL,"81,544 km",Petrol,2nd Owner,TS-15-x-xxxx,"?9,023/month","?4,67,899?4,61,549",15-May,Honda,Hyderabad
2020 Hyundai Creta 1.5 SX (O),MANUAL,"20,912 km",Diesel,1st Owner,GJ-16,"?32,546/month","Fixed Price?17,33,099",20-Aug,Diesel,Ahmedabad
2018 Maruti Vitara Brezza ZDI,MANUAL,"51,520 km",Diesel,1st Owner,TS-07-x-xxxx,"?18,467/month","Fixed Price?9,83,399",18-Feb,Diesel,Hyderabad
2016 Mahindra NUVOSPORT N8 mHAWK,MANUAL,"65,466 km",Diesel,1st Owner,"Valid upto Nov 2023
3rd Party","?7,920/month","?4,27,099?4,05,099",,Mahindra,Lucknow
2014 Honda Amaze 1.2 SX MT I VTEC,MANUAL,"45,525 km",Petrol,1st Owner,DL-10,"?8,839/month","Fixed Price?4,52,099",14-Sep,Honda,New Delhi
2016 Maruti Celerio VXI,MANUAL,"29,868 km",Petrol,1st Owner,TN-09-x-xxxx,"?8,776/month","Fixed Price?4,48,899",16-Mar,Cars from 2 lakh - 5 lakh,Chennai
2019 Ford Ecosport 1.5 TITANIUM THUNDER EDITION TI VCT,MANUAL,"44,039 km",Petrol,1st Owner,KA-05-x-xxxx,"?18,901/month","?10,13,799?10,06,499",19-Oct,Ford,Bangalore
2017 Renault Kwid RXT 1.0 EASY-R AT OPTION,AUTOMATIC,"7,529 km",Petrol,1st Owner,KL-07,"?8,407/month","Fixed Price?4,29,999",17-Jun,Cars from 2 lakh - 5 lakh,Kochi
2018 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,AUTOMATIC,"43,981 km",Petrol,1st Owner,KL-26,"?18,056/month","?10,09,099?9,61,499",18-Oct,Tata,Kochi
2016 Ford Ecosport 1.5 TITANIUM TI VCT AT,AUTOMATIC,"51,943 km",Petrol,2nd Owner,KA-03-x-xxxx,"?13,939/month","?7,31,899?7,12,999",16-Oct,Ford,Bangalore
2018 Ford FREESTYLE TITANIUM + 1.2 TI-VCT,MANUAL,"46,575 km",Petrol,1st Owner,MH-01,"?11,124/month","Fixed Price?5,68,999",18-Aug,Ford,Mumbai
2021 Volkswagen Vento Highline 1.0 TSI MT,MANUAL,"36,910 km",Petrol,1st Owner,TS-05-x-xxxx,"?18,666/month","?10,41,799?9,93,999",21-Apr,Volkswagen,Hyderabad
2016 Renault Kwid RXT,MANUAL,"71,078 km",Petrol,1st Owner,MH-12,"?6,461/month","Fixed Price?3,30,499",16-Sep,Renault,Pune
2018 Mahindra XUV500 W10 AT,AUTOMATIC,"75,852 km",Diesel,2nd Owner,KA-04-x-xxxx,"?26,760/month","?16,50,499?14,24,999",18-Jul,Mahindra,Bangalore
2021 Volkswagen Vento HIGHLINE PLUS 1.0 TSI AT,AUTOMATIC,"27,160 km",Petrol,1st Owner,TN-85-x-xxxx,"?22,428/month","?12,21,499?11,94,299",21-Feb,Volkswagen,Chennai
2019 Honda City V MT PETROL,MANUAL,"45,063 km",Petrol,1st Owner,WB-06,"?16,443/month","?9,68,599?8,75,599",19-Jan,Honda,Kolkata
2018 Maruti Baleno DELTA 1.2 K12,MANUAL,"47,282 km",Petrol,1st Owner,MP-04,"?11,693/month","?6,26,499?5,98,099",18-Dec,Maruti,Indore
2016 Volkswagen Ameo COMFORTLINE 1.2,MANUAL,"61,354 km",Petrol,1st Owner,TN-10-x-xxxx,"?9,558/month","Fixed Price?4,88,899",16-Nov,Volkswagen,Chennai
2019 KIA SELTOS GTX 1.4 GDI AT PETROL,AUTOMATIC,"22,042 km",Petrol,1st Owner,MP-04,"?26,662/month","?15,71,499?14,19,799",19-Oct,Cars above 10 lakh,Indore
2022 KIA CARENS LUXURY 1.4G MT 7STR,,"1,925 km",Petrol,1st Owner,HR-98,"?30,815/month","?16,66,999?16,40,949",22-Jun,,New Delhi
2021 Mahindra Bolero B6 (O),MANUAL,"38,143 km",Diesel,1st Owner,UP-78-x-xxxx,"?17,312/month","?9,75,199?9,21,899",21-Jul,Diesel,Lucknow
2020 Tata Tiago XZ+ 1.2 Revotron,MANUAL,"67,113 km",Petrol,1st Owner,KA-50-x-xxxx,"?12,688/month","Fixed Price?6,48,999",20-Jul,Tata,Bangalore
2015 Maruti Celerio VXI AMT,AUTOMATIC,"41,383 km",Petrol + CNG,2nd Owner,KA-01-x-xxxx,"?8,377/month","Fixed Price?4,28,499",15-Jun,CNG,Bangalore
2021 Volkswagen Vento HIGHLINE PLUS 1.0 TSI AT,AUTOMATIC,"18,774 km",Petrol,1st Owner,MH-06,"?26,621/month","?14,97,999?14,17,599",21-Apr,Volkswagen,Mumbai
2018 Maruti Celerio VXI CNG,MANUAL,"78,516 km",Petrol + CNG,2nd Owner,GJ-18,"?9,355/month","Fixed Price?4,78,499",18-Apr,CNG,Ahmedabad
2019 Maruti New  Wagon-R LXI CNG 1.0 L,MANUAL,"82,792 km",Petrol + CNG,1st Owner,MH-12,"?10,954/month","?5,79,599?5,60,299",19-Jul,CNG,Pune
2019 Maruti S PRESSO VXI PLUS,MANUAL,"31,739 km",Petrol,2nd Owner,UP-32-x-xxxx,"?8,649/month","?4,58,499?4,42,399",19-Dec,Honda,Lucknow
2011 Hyundai i10 MAGNA 1.2 KAPPA2,MANUAL,"1,04,862 km",Petrol,1st Owner,KL-42,"?4,340/month","?2,56,999?2,21,999",,,Kochi
2014 Hyundai i10 SPORTZ 1.1 IRDE2,MANUAL,"50,714 km",Petrol,2nd Owner,TN-06-x-xxxx,"?7,396/month","Fixed Price?3,78,299",14-Feb,Cars from 2 lakh - 5 lakh,Chennai
2019 Hyundai VENUE 1.0 TURBO GDI SX+ AT,AUTOMATIC,"15,763 km",Petrol,1st Owner,WB-20,"?19,776/month","?10,63,199?10,53,099",19-Nov,Cars above 10 lakh,Kolkata
2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,MANUAL,"41,418 km",Petrol,1st Owner,MP-04,"?8,852/month","?4,76,799?4,52,799",17-Nov,Petrol,Indore
2022 Honda WR-V 1.2 i-VTEC VX MT,MANUAL,"6,644 km",Petrol,1st Owner,DL-8C,"?19,412/month","?10,63,599?10,33,699",22-Mar,Honda,New Delhi
